run_id,noise_seed,capacity_low,capacity_high,failure_facility,method_label,evacuation_time_s,queueing_time_person_s,moderate_congestion_exposure_time_person_s,severe_congestion_exposure_time_person_s,peak_density_p_per_m2,avg_speed_m_per_s,wall_clock_runtime_s
23,20260536,0.95,1.05,,ACO,457.0,52805.0,29830.0,22989.5,25.24271844660194,1.168118694549554,7.095828599995002
23,20260536,0.95,1.05,,PaperImprovedAStar,320.0,49303.5,25882.5,18289.0,20.0,1.2048265706008476,60.02636010013521
23,20260536,0.95,1.05,,AdaptiveSingleNextHop,320.0,47060.5,26422.5,18517.0,20.43010752688172,1.179765039029576,84.12470010016114
24,20260537,0.95,1.05,,ACO,460.5,54721.0,31916.5,25680.5,21.904761904761905,1.1681186945495516,6.960836299927905
24,20260537,0.95,1.05,,PaperImprovedAStar,349.5,49734.5,26507.5,19044.0,19.0,1.2043266452541999,65.80018560006283
24,20260537,0.95,1.05,,AdaptiveSingleNextHop,438.0,44995.0,25326.5,16760.0,19.0,1.1816949662752396,84.23729639989324
25,20260538,0.95,1.05,,ACO,460.0,51952.5,29642.5,23511.5,22.38095238095238,1.1681186945495559,7.124179400037974
25,20260538,0.95,1.05,,PaperImprovedAStar,349.5,49160.0,25699.0,18267.0,20.0,1.2046377737834923,61.49698709999211
25,20260538,0.95,1.05,,AdaptiveSingleNextHop,317.5,44786.5,24825.5,17444.5,19.523809523809522,1.180336226144671,84.62512709992006
26,20260539,0.95,1.05,,ACO,461.0,55216.0,32513.5,26283.0,23.80952380952381,1.168118694549552,7.006449300097302
26,20260539,0.95,1.05,,PaperImprovedAStar,318.0,49408.5,25818.0,18582.0,20.0,1.2048335315151084,57.492309799883515
26,20260539,0.95,1.05,,AdaptiveSingleNextHop,321.0,46271.5,26905.5,19676.5,20.43010752688172,1.1799168854824418,84.58536010002717
27,20260540,0.95,1.05,,ACO,461.5,53749.0,30855.5,24392.5,25.24271844660194,1.1681186945495539,7.049264699919149
27,20260540,0.95,1.05,,PaperImprovedAStar,317.5,49439.0,25473.5,18184.5,20.0,1.2048786318155356,63.356527500087395
27,20260540,0.95,1.05,,AdaptiveSingleNextHop,434.5,45479.0,25954.5,19424.0,21.50537634408602,1.179445592291473,84.97925459989347
28,20260541,0.95,1.05,,ACO,461.0,54225.0,31264.5,24800.5,20.952380952380953,1.1681186945495519,6.932590800104663
28,20260541,0.95,1.05,,PaperImprovedAStar,349.5,50049.5,26028.0,18154.0,19.0,1.2044135651925318,72.41155730001628
28,20260541,0.95,1.05,,AdaptiveSingleNextHop,319.5,44224.0,24389.5,15556.0,19.0,1.182008782250668,84.951332999859
29,20260542,0.95,1.05,,ACO,457.0,53196.5,29815.5,22984.5,22.38095238095238,1.168118694549553,7.105275399982929
29,20260542,0.95,1.05,,PaperImprovedAStar,349.5,50105.0,26177.0,17707.5,19.047619047619047,1.2043526467252446,66.15556579991244
29,20260542,0.95,1.05,,AdaptiveSingleNextHop,320.0,44701.0,25396.0,16746.5,21.50537634408602,1.180040286447785,84.60562069993466
30,20260543,0.95,1.05,,ACO,461.0,54770.0,32318.5,25872.5,21.904761904761905,1.1681186945495527,7.097169900080189
30,20260543,0.95,1.05,,PaperImprovedAStar,349.5,49986.5,26353.0,18340.0,19.0,1.2045996899131706,58.76962659996934
30,20260543,0.95,1.05,,AdaptiveSingleNextHop,436.0,44550.0,25397.5,17662.0,19.0,1.1797197332167024,84.41490029986016
