method_label,source_group,line,source_type,source_zone,configured_people,evacuated_people,exit_name,people,share_within_group
ACO,L7_platform::Platform_L7_C3_Wait,L7,platform_waiting,Platform_L7_C3_Wait,36.0,36.0,Exit_L7_8/9,14.0,0.3888888888888889
ACO,L7_platform::Platform_L7_C4_Wait,L7,platform_waiting,Platform_L7_C4_Wait,44.0,44.0,Exit_L7_7,29.0,0.6590909090909091
ACO,L7_platform::Platform_L7_C4_Wait,L7,platform_waiting,Platform_L7_C4_Wait,44.0,44.0,Exit_L7_8/9,15.0,0.3409090909090909
ACO,L7_platform::Platform_L7_C5_Wait,L7,platform_waiting,Platform_L7_C5_Wait,37.0,37.0,Exit_L7_7,24.0,0.6486486486486487
ACO,L7_platform::Platform_L7_C5_Wait,L7,platform_waiting,Platform_L7_C5_Wait,37.0,37.0,Exit_L7_8/9,13.0,0.35135135135135137
ACO,L7_platform::Platform_L7_C6_Wait,L7,platform_waiting,Platform_L7_C6_Wait,23.0,23.0,Exit_L7_7,15.0,0.6521739130434783
ACO,L7_platform::Platform_L7_C6_Wait,L7,platform_waiting,Platform_L7_C6_Wait,23.0,23.0,Exit_L7_8/9,8.0,0.34782608695652173
ACO,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_7,86.0,0.7678571428571429
ACO,L7_hall,L7,hall_people,,112.0,112.0,Exit_L7_8/9,26.0,0.23214285714285715
ACO,L7_L2_transfer,L7,transfer_people,L2,169.0,169.0,Exit_L16_11,3.0,0.01775147928994083
ACO,L7_L2_transfer,L7,transfer_people,L2,169.0,169.0,Exit_L18_12,11.0,0.0650887573964497
ACO,L7_L2_transfer,L7,transfer_people,L2,169.0,169.0,Exit_L2_2,112.0,0.6627218934911243
ACO,L7_L2_transfer,L7,transfer_people,L2,169.0,169.0,Exit_L2_3,9.0,0.05325443786982249
ACO,L7_L2_transfer,L7,transfer_people,L2,169.0,169.0,Exit_L2_4,30.0,0.17751479289940827
ACO,L7_L2_transfer,L7,transfer_people,L2,169.0,169.0,Exit_L2_6,4.0,0.023668639053254437
PaperImprovedAStar,L16_platform::Platform_L16_A_C1_Wait,L16,platform_waiting,Platform_L16_A_C1_Wait,4.0,4.0,Exit_L16_11,4.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_A_C2_Wait,L16,platform_waiting,Platform_L16_A_C2_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
PaperImprovedAStar,L16_platform::Platform_L16_A_C3_Wait,L16,platform_waiting,Platform_L16_A_C3_Wait,4.0,4.0,Exit_L16_10,4.0,1.0
